,Brand,Color,Storage,Rating,Screen_size,Battery,Price,Rating_cat,Price_cat
0,realme,Gold,64,4.6,6.7,5000,10999,high,Affordable
1,realme,Black,64,4.3,6.7,5000,10999,high,Affordable
2,vivo,Blue,128,4.4,6.6,5000,13999,high,Affordable
3,vivo,Black,128,4.4,6.6,5000,13999,high,Affordable
4,vivo,Blue,128,4.3,6.6,5000,15999,high,Affordable
5,vivo,Gold,128,4.3,6.6,5000,15999,high,Affordable
6,vivo,Black,128,4.3,6.6,5000,15999,high,Affordable
7,vivo,Gold,128,4.4,6.6,5000,12999,high,Affordable
8,vivo,Black,128,4.4,6.6,5000,12999,high,Affordable
9,vivo,Blue,128,4.4,6.6,5000,12999,high,Affordable
10,MOTOROLA,Green,64,4.2,6.5,5000,11849,high,Affordable
11,OnePlus,Tide,128,4.4,6.6,5000,17585,high,Affordable
12,MOTOROLA,Gray,128,4.1,6.5,5000,11999,low,Affordable
13,SAMSUNG,Blue,128,4.3,6.6,6000,11999,high,Affordable
14,vivo,Gold,128,4.4,6.6,5000,13999,high,Affordable
15,POCO,Black,64,4.2,6.6,5000,10999,high,Affordable
16,APPLE,Midnight,128,4.6,6.1,5000,68999,high,Costly
17,POCO,Black,128,4.2,6.6,5000,12999,high,Affordable
18,MOTOROLA,Blue,128,4.1,6.6,5000,15499,low,Affordable
19,SAMSUNG,Green,64,4.1,6.5,5000,10701,low,Affordable
20,SAMSUNG,Blue,64,4.1,6.5,5000,10701,low,Affordable
21,POCO,Black,128,4.1,6.7,5000,18999,low,Average
22,POCO,Blue,128,4.2,6.6,5000,12999,high,Affordable
23,REDMI,Purple,128,4.4,6.6,5000,10999,high,Affordable
24,POCO,Yellow,64,4.2,6.6,5000,10999,high,Affordable
25,vivo,Blaze,128,4.4,6.4,4500,20999,high,Average
26,vivo,Blaze,128,4.4,6.4,4500,18999,high,Average
27,vivo,Wave,128,4.4,6.4,4500,18999,high,Average
28,SAMSUNG,Green,128,4.2,6.6,6000,14990,high,Affordable
29,vivo,Wave,128,4.4,6.4,4500,20999,high,Average
30,OnePlus,Dusk,128,4.4,6.6,5000,17564,high,Affordable
31,REDMI,Black,128,4.4,6.6,5000,10999,high,Affordable
32,APPLE,Purple,128,4.6,6.1,5000,68999,high,Costly
33,POCO,Blue,128,4.2,6.4,5000,13999,high,Affordable
34,MOTOROLA,Gray,128,4.1,6.6,5000,15499,low,Affordable
35,SAMSUNG,Blue,128,4.3,6.6,5000,16999,high,Affordable
36,APPLE,Starlight,128,4.6,6.1,5000,68999,high,Costly
37,SAMSUNG,Copper,128,4.3,6.6,6000,11999,high,Affordable
38,SAMSUNG,Blush,128,4.3,6.6,5000,16999,high,Affordable
39,SAMSUNG,Green,128,4.3,6.6,5000,16999,high,Affordable
