,Fearure 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,11.55412756,-26.03443,-2.675178275,1.274960918,2.401626767,12.69585997,15.39003433,1.040080204
1,6.524485692,-16.98227774,-2.144518671,1.934268826,0.210880015,13.38204089,513.8978586,2.393011276
2,13.23572594,-7.796440886,-2.792419921,-0.961316644,1.721767962,12.89493195,457104.219,1.286124755
3,29.09967107,-4.127850866,-2.30796153,1.878894531,0.786646917,8.983774781,1022.104024,1.012143399
4,5.985033658,-13.85160323,-3.893614667,-0.275064521,0.081054449,11.61018229,214933.7178,1.862475168
5,5.985122094,-10.52903677,-1.786706293,-0.609924819,3.11110253,9.541392059,28342.42444,1.886335758
6,30.60892197,-16.53821722,-1.998794525,-1.798601892,0.283638481,9.152461539,16246.25834,1.548507952
7,14.7418628,-13.08746133,-2.817088631,-1.788938969,1.963582812,11.78167598,57.76003615,1.001747429
8,4.842703081,-19.00301107,-1.340754332,0.768045024,0.184896877,9.525286218,3.36E-09,5.463096301
9,12.04083801,-4.564405655,-1.062429862,-0.168284022,1.923757516,12.1682027,38.89456831,1.28398942
10,4.869172849,-24.18311492,-3.607559864,-1.093913496,0.013317093,9.822782157,21376.87055,1.584588145
11,4.859051342,-8.827215718,-2.762724779,0.455881225,0.71699009,8.797813345,63009.69416,1.643738555
12,9.186785055,-47.83390919,-2.76914235,-0.988567527,1.467255334,12.00553677,2.59E-05,11.24102141
13,1.320549291,-3.973832379,-2.939903101,0.310527017,2.730227062,11.43532243,0.095516032,2.124319089
14,1.564511994,-35.24654192,-1.170525158,-0.563165012,2.39911952,5.412645521,15.54631626,1.720418438
15,4.454617612,-8.829688223,-2.193826139,1.294208906,1.712716539,10.4793327,118.4465005,2.269240546
16,2.969673433,-4.111236343,-2.264514841,1.282784643,2.190966348,11.24935428,1167682.343,1.706345955
17,9.804315044,-4.780297339,-4.003862364,-0.090598408,0.222168634,8.776992069,0.013670505,1.40396002
18,3.263428507,-5.538299048,-1.36458197,-0.596723563,0.334332541,8.466815077,0.178463568,3.207105908
19,2.072854554,-10.82382098,-3.239258395,-0.549760814,0.341038581,9.177308922,0.007153591,1.105642248
20,27.63502229,-11.82897392,-1.94006737,1.222858103,0.473295331,9.853711184,54608015.35,2.454434142
21,6.030327551,-4.409097396,-1.722623062,-0.687282069,0.499754915,12.28447999,20009.34093,1.421990679
22,7.852055811,-7.228856527,-0.639341404,-1.163762505,0.786481029,13.57184259,54411.72799,1.280877427
23,2.049768034,-50.80746653,-3.308820399,-1.661246632,0.174210259,9.994483077,4.86298546,1.003892643
24,4.526982252,-34.98043318,-5.019512156,-0.133227516,1.175212586,8.437993429,2944534.63,3.309581333
25,8.164784482,-10.94290502,-1.816150455,-0.071471604,0.183401987,6.516320868,5.11E-05,2.264060455
26,2.622441569,-7.646156707,-0.199488818,1.363634842,0.371510857,8.765960929,0.000263471,1.1056099
27,10.36182331,-8.231993377,-0.761053647,-1.115045214,0.699859922,9.931223684,0.002039199,2.403968209
28,4.303485084,-12.83487629,-1.790340585,-0.476034905,1.591797236,6.59348483,45.40523688,1.326408874
29,5.68297933,-2.943168409,-2.491636186,1.233622956,1.345034318,11.59862033,1.69E-05,2.616573578
30,4.299350862,-5.861239596,-1.192877403,1.294494443,1.037143853,11.23346965,2.970021808,1.456131002
31,39.13629769,-1.645878581,-2.9735462,-0.461555696,0.169334172,9.123831087,0.573997075,1.276377619
